transaction_id,store_id,date,day_of_week,num_transactions,total_revenue_sar,avg_ticket_sar,burgers_sold,sides_sold,drinks_sold,desserts_sold,lunch_peak_pct,dinner_peak_pct,other_hours_pct,delivery_orders,drive_thru_orders
TXN000068,S003,2024-10-14,Monday,235,12267.78,52.2,176,136,209,73,0.402,0.476,0.122,40,51
TXN000069,S004,2024-10-14,Monday,303,11556.77,38.14,202,168,242,89,0.392,0.423,0.185,52,82
TXN000070,S005,2024-10-14,Monday,371,16353.91,44.08,266,238,340,115,0.396,0.475,0.129,71,94
TXN000071,S001,2024-10-15,Tuesday,292,15525.12,53.17,213,162,240,81,0.402,0.446,0.152,52,62
TXN000072,S002,2024-10-15,Tuesday,338,16560.2,48.99,251,202,295,87,0.353,0.435,0.213,61,76
TXN000073,S003,2024-10-15,Tuesday,210,11390.03,54.24,154,127,197,73,0.397,0.422,0.181,32,57
TXN000074,S004,2024-10-15,Tuesday,287,13784.66,48.03,212,163,254,89,0.384,0.407,0.208,53,66
TXN000075,S005,2024-10-15,Tuesday,367,19140.76,52.15,250,227,309,126,0.407,0.444,0.149,71,84
TXN000076,S001,2024-10-16,Wednesday,265,14416.98,54.4,182,159,251,83,0.388,0.433,0.179,44,62
TXN000077,S002,2024-10-16,Wednesday,344,16342.81,47.51,249,196,303,117,0.381,0.456,0.163,55,102
TXN000078,S003,2024-10-16,Wednesday,247,9827.13,39.79,164,149,218,64,0.419,0.473,0.108,48,52
TXN000079,S004,2024-10-16,Wednesday,318,14299.67,44.97,229,191,267,106,0.419,0.419,0.162,65,75
TXN000080,S005,2024-10-16,Wednesday,394,17794.94,45.16,290,250,331,129,0.379,0.475,0.146,79,111
TXN000081,S001,2024-10-17,Thursday,261,10693.46,40.97,184,169,227,69,0.388,0.428,0.185,53,66
TXN000082,S002,2024-10-17,Thursday,315,13052.2,41.44,210,195,279,86,0.404,0.403,0.192,70,85
TXN000083,S003,2024-10-17,Thursday,262,11193.05,42.72,187,165,248,78,0.353,0.44,0.207,54,75
TXN000084,S004,2024-10-17,Thursday,322,14105.57,43.81,226,191,292,93,0.396,0.412,0.192,63,95
TXN000085,S005,2024-10-17,Thursday,333,16268.41,48.85,238,211,308,111,0.377,0.425,0.198,73,91
TXN000086,S001,2024-10-18,Friday,435,15537.32,35.72,285,266,408,152,0.402,0.435,0.163,69,114
TXN000087,S002,2024-10-18,Friday,498,21849.04,43.87,358,318,401,164,0.371,0.43,0.199,81,126
TXN000088,S003,2024-10-18,Friday,342,17390.83,50.85,228,190,318,106,0.367,0.473,0.16,56,84
TXN000089,S004,2024-10-18,Friday,376,15080.06,40.11,244,237,351,119,0.361,0.435,0.204,69,97
TXN000090,S005,2024-10-18,Friday,510,22177.95,43.49,344,323,423,147,0.384,0.419,0.197,105,131
TXN000091,S001,2024-10-19,Saturday,449,18366.17,40.9,335,276,377,137,0.398,0.46,0.142,69,117
TXN000092,S002,2024-10-19,Saturday,447,23728.15,53.08,303,281,398,127,0.395,0.45,0.156,97,121
TXN000093,S003,2024-10-19,Saturday,352,18221.89,51.77,250,225,315,98,0.381,0.446,0.173,78,73
TXN000094,S004,2024-10-19,Saturday,381,19030.8,49.95,254,214,335,132,0.387,0.473,0.14,88,85
TXN000095,S005,2024-10-19,Saturday,537,23970.05,44.64,392,335,456,140,0.417,0.411,0.171,132,153
TXN000096,S001,2024-10-20,Sunday,298,16270.46,54.6,222,187,254,98,0.351,0.443,0.206,58,79
TXN000097,S002,2024-10-20,Sunday,336,15688.24,46.69,246,216,274,91,0.352,0.471,0.178,69,97
TXN000098,S003,2024-10-20,Sunday,219,7941.89,36.26,160,140,185,63,0.36,0.476,0.165,39,54
TXN000099,S004,2024-10-20,Sunday,254,13397.28,52.75,168,151,228,82,0.416,0.434,0.15,56,54
TXN000100,S005,2024-10-20,Sunday,341,12610.33,36.98,238,201,321,86,0.376,0.435,0.189,83,97
TXN000101,S001,2024-10-21,Monday,246,11983.55,48.71,173,159,210,71,0.363,0.41,0.227,57,60
TXN000102,S002,2024-10-21,Monday,335,16024.42,47.83,237,184,307,91,0.359,0.445,0.196,52,92
TXN000103,S003,2024-10-21,Monday,218,8571.55,39.32,160,127,179,74,0.35,0.469,0.181,35,46
TXN000104,S004,2024-10-21,Monday,268,10315.3,38.49,191,148,214,88,0.367,0.426,0.207,44,55
TXN000105,S005,2024-10-21,Monday,375,17070.64,45.52,271,224,343,112,0.358,0.44,0.202,91,76
TXN000106,S001,2024-10-22,Tuesday,303,15858.9,52.34,212,180,286,77,0.384,0.432,0.184,66,75
TXN000107,S002,2024-10-22,Tuesday,359,13092.66,36.47,236,219,290,99,0.394,0.444,0.162,65,107
TXN000108,S003,2024-10-22,Tuesday,242,10665.98,44.07,171,135,219,81,0.396,0.462,0.143,53,53
TXN000109,S004,2024-10-22,Tuesday,285,11277.41,39.57,194,169,245,73,0.38,0.453,0.167,53,61
TXN000110,S005,2024-10-22,Tuesday,394,14319.01,36.34,288,220,320,127,0.407,0.445,0.149,82,100
TXN000111,S001,2024-10-23,Wednesday,265,9922.83,37.44,181,163,241,89,0.4,0.477,0.122,55,62
TXN000112,S002,2024-10-23,Wednesday,327,12836.31,39.25,234,187,266,109,0.376,0.461,0.163,67,91
TXN000113,S003,2024-10-23,Wednesday,264,14385.61,54.49,193,161,236,66,0.415,0.466,0.119,46,57
TXN000114,S004,2024-10-23,Wednesday,307,12642.17,41.18,209,169,285,94,0.378,0.411,0.211,65,62
TXN000115,S005,2024-10-23,Wednesday,375,14738.5,39.3,259,219,320,120,0.404,0.445,0.15,59,76
TXN000116,S001,2024-10-24,Thursday,251,11886.55,47.36,180,144,225,74,0.381,0.422,0.197,56,53
TXN000117,S002,2024-10-24,Thursday,313,12728.12,40.66,224,187,281,79,0.378,0.448,0.174,47,72
TXN000118,S003,2024-10-24,Thursday,219,8266.09,37.74,147,127,175,71,0.362,0.43,0.207,48,54
TXN000119,S004,2024-10-24,Thursday,319,16308.56,51.12,209,202,257,80,0.414,0.469,0.117,66,82
TXN000120,S005,2024-10-24,Thursday,371,16084.29,43.35,245,204,314,122,0.393,0.467,0.14,89,77
TXN000121,S001,2024-10-25,Friday,432,17222.25,39.87,306,260,371,121,0.374,0.427,0.2,72,108
TXN000122,S002,2024-10-25,Friday,396,17898.82,45.2,293,231,360,131,0.407,0.419,0.174,65,87
TXN000123,S003,2024-10-25,Friday,346,17370.69,50.2,247,196,316,103,0.403,0.461,0.136,67,101
TXN000124,S004,2024-10-25,Friday,413,19702.56,47.71,294,262,369,109,0.355,0.435,0.21,74,93
TXN000125,S005,2024-10-25,Friday,424,19142.22,45.15,288,252,342,141,0.355,0.469,0.175,99,110
TXN000126,S001,2024-10-26,Saturday,392,17347.66,44.25,276,246,366,115,0.407,0.452,0.141,71,97
TXN000127,S002,2024-10-26,Saturday,401,14531.23,36.24,264,256,341,128,0.385,0.414,0.201,70,97
TXN000128,S003,2024-10-26,Saturday,329,14954.68,45.45,219,193,277,95,0.374,0.448,0.178,75,87
TXN000129,S004,2024-10-26,Saturday,353,13022.21,36.89,253,204,320,111,0.413,0.47,0.117,64,91
TXN000130,S005,2024-10-26,Saturday,437,18352.43,42.0,326,270,375,135,0.416,0.425,0.16,82,121
TXN000131,S001,2024-10-27,Sunday,306,14811.11,48.4,224,190,276,92,0.395,0.434,0.171,56,72
TXN000132,S002,2024-10-27,Sunday,289,11353.03,39.28,215,173,241,76,0.355,0.468,0.177,46,80
TXN000133,S003,2024-10-27,Sunday,264,13905.84,52.67,172,154,241,69,0.376,0.413,0.211,61,73
TXN000134,S004,2024-10-27,Sunday,316,12106.21,38.31,219,186,284,86,0.381,0.423,0.196,71,77
TXN000135,S005,2024-10-27,Sunday,353,14539.84,41.19,257,210,326,101,0.416,0.479,0.105,69,80
TXN000136,S001,2024-10-28,Monday,270,12298.28,45.55,201,170,248,71,0.368,0.451,0.181,64,68
TXN000137,S002,2024-10-28,Monday,281,14588.91,51.92,206,162,256,77,0.413,0.412,0.175,54,82
TXN000138,S003,2024-10-28,Monday,219,9640.94,44.02,150,121,176,65,0.367,0.48,0.154,41,44
TXN000139,S004,2024-10-28,Monday,327,16933.21,51.78,233,205,268,91,0.408,0.456,0.136,53,88
TXN000140,S005,2024-10-28,Monday,344,12076.13,35.11,226,198,318,104,0.401,0.442,0.157,55,78
TXN000141,S001,2024-10-29,Tuesday,263,9456.16,35.95,181,165,228,68,0.413,0.448,0.139,39,66
TXN000142,S002,2024-10-29,Tuesday,295,11172.1,37.87,204,180,246,86,0.397,0.407,0.197,73,60
TXN000143,S003,2024-10-29,Tuesday,241,10880.32,45.15,180,145,206,71,0.394,0.478,0.127,42,48
TXN000144,S004,2024-10-29,Tuesday,315,13197.26,41.9,227,193,288,101,0.373,0.404,0.223,64,88
TXN000145,S005,2024-10-29,Tuesday,315,15933.6,50.58,219,195,281,104,0.354,0.462,0.183,61,72
TXN000146,S001,2024-10-30,Wednesday,241,9396.44,38.99,157,155,211,84,0.388,0.42,0.192,54,52
TXN000147,S002,2024-10-30,Wednesday,306,15488.75,50.62,225,178,250,87,0.412,0.459,0.128,73,73
TXN000148,S003,2024-10-30,Wednesday,274,12309.19,44.92,191,176,240,90,0.401,0.406,0.193,57,77
TXN000149,S004,2024-10-30,Wednesday,293,12137.3,41.42,192,180,247,90,0.38,0.455,0.165,54,59
TXN000150,S005,2024-10-30,Wednesday,388,16315.86,42.05,290,224,367,133,0.355,0.451,0.194,72,108
TXN000151,S001,2024-10-31,Thursday,295,15946.46,54.06,195,180,270,74,0.355,0.462,0.183,55,70
TXN000152,S002,2024-10-31,Thursday,326,15355.22,47.1,234,210,278,106,0.39,0.442,0.167,61,86
TXN000153,S003,2024-10-31,Thursday,221,8236.44,37.27,159,132,189,67,0.368,0.421,0.211,43,66
TXN000154,S004,2024-10-31,Thursday,271,14452.32,53.33,189,152,251,80,0.413,0.436,0.151,43,72
TXN000155,S005,2024-10-31,Thursday,386,15977.22,41.39,264,214,340,130,0.41,0.457,0.133,93,101
TXN000156,S001,2024-11-01,Friday,426,19244.6,45.18,282,242,349,140,0.352,0.444,0.204,79,119
TXN000157,S002,2024-11-01,Friday,454,21446.49,47.24,299,263,431,146,0.387,0.462,0.152,105,94
TXN000158,S003,2024-11-01,Friday,383,18325.31,47.85,266,236,326,129,0.405,0.451,0.144,64,113
TXN000159,S004,2024-11-01,Friday,397,21126.06,53.21,260,223,326,105,0.373,0.457,0.171,73,116
TXN000160,S005,2024-11-01,Friday,548,28451.43,51.92,369,336,483,143,0.371,0.443,0.186,109,118
TXN000161,S001,2024-11-02,Saturday,443,16871.16,38.08,317,275,394,148,0.389,0.466,0.145,67,90
TXN000162,S002,2024-11-02,Saturday,467,21732.04,46.54,333,292,402,146,0.385,0.45,0.165,83,138
TXN000163,S003,2024-11-02,Saturday,334,17065.32,51.09,239,193,270,85,0.381,0.439,0.18,56,87
TXN000164,S004,2024-11-02,Saturday,383,18907.66,49.37,277,243,362,100,0.376,0.445,0.179,69,94
TXN000165,S005,2024-11-02,Saturday,455,18181.06,39.96,300,263,390,141,0.367,0.469,0.163,75,105
TXN000166,S001,2024-11-03,Sunday,286,11798.73,41.25,207,171,250,85,0.372,0.402,0.227,69,71
TXN000167,S002,2024-11-03,Sunday,364,14306.25,39.3,249,202,318,123,0.396,0.438,0.167,74,103
TXN000168,S003,2024-11-03,Sunday,235,12372.54,52.65,169,147,200,68,0.39,0.416,0.195,48,48
TXN000169,S004,2024-11-03,Sunday,290,14583.54,50.29,196,188,261,75,0.418,0.432,0.15,66,67
TXN000170,S005,2024-11-03,Sunday,396,19839.32,50.1,265,237,346,100,0.36,0.427,0.214,78,97
TXN000171,S001,2024-11-04,Monday,288,13049.31,45.31,196,176,237,100,0.402,0.424,0.174,52,81
TXN000172,S002,2024-11-04,Monday,323,15883.46,49.17,219,203,276,102,0.419,0.447,0.135,74,88
TXN000173,S003,2024-11-04,Monday,253,8989.83,35.53,176,163,232,82,0.39,0.458,0.152,52,54
TXN000174,S004,2024-11-04,Monday,301,14265.81,47.39,220,169,271,76,0.416,0.409,0.175,45,69
TXN000175,S005,2024-11-04,Monday,313,15277.53,48.81,216,196,293,105,0.402,0.405,0.194,51,69
TXN000176,S001,2024-11-05,Tuesday,265,12784.8,48.24,186,154,218,90,0.374,0.428,0.198,60,72
TXN000177,S002,2024-11-05,Tuesday,333,16272.47,48.87,236,189,278,101,0.366,0.478,0.156,59,76
TXN000178,S003,2024-11-05,Tuesday,218,10703.75,49.1,148,127,204,71,0.369,0.41,0.221,47,51
TXN000179,S004,2024-11-05,Tuesday,331,17002.66,51.37,246,208,279,92,0.4,0.428,0.172,64,74
TXN000180,S005,2024-11-05,Tuesday,347,13547.35,39.04,244,223,313,91,0.393,0.447,0.16,60,92
TXN000181,S001,2024-11-06,Wednesday,282,13468.01,47.76,184,166,255,73,0.404,0.4,0.196,57,82
TXN000182,S002,2024-11-06,Wednesday,311,16700.9,53.7,229,185,258,107,0.372,0.452,0.176,74,64
TXN000183,S003,2024-11-06,Wednesday,245,11197.25,45.7,176,157,229,65,0.412,0.414,0.174,59,73
TXN000184,S004,2024-11-06,Wednesday,281,12619.06,44.91,208,181,263,94,0.351,0.445,0.204,45,83
TXN000185,S005,2024-11-06,Wednesday,327,17913.71,54.78,230,196,307,109,0.383,0.415,0.202,52,70
TXN000186,S001,2024-11-07,Thursday,276,11080.1,40.15,184,172,253,84,0.403,0.414,0.183,65,79
TXN000187,S002,2024-11-07,Thursday,351,15902.27,45.31,231,216,290,92,0.373,0.42,0.208,61,78
TXN000188,S003,2024-11-07,Thursday,258,13952.82,54.08,175,160,206,81,0.398,0.405,0.197,41,59
TXN000189,S004,2024-11-07,Thursday,281,12659.17,45.05,207,174,237,73,0.414,0.424,0.162,59,62
TXN000190,S005,2024-11-07,Thursday,311,11837.81,38.06,225,189,268,94,0.383,0.443,0.174,67,68
TXN000191,S001,2024-11-08,Friday,362,18134.31,50.09,266,202,313,115,0.355,0.445,0.199,56,92
TXN000192,S002,2024-11-08,Friday,448,20811.41,46.45,297,261,393,117,0.364,0.447,0.189,71,112
TXN000193,S003,2024-11-08,Friday,367,16173.19,44.07,257,218,296,108,0.406,0.458,0.136,69,103
TXN000194,S004,2024-11-08,Friday,435,20256.31,46.57,284,254,352,151,0.415,0.406,0.179,105,88
TXN000195,S005,2024-11-08,Friday,476,23980.61,50.38,345,308,426,139,0.419,0.431,0.15,112,138
TXN000196,S001,2024-11-09,Saturday,377,18342.79,48.65,269,227,338,107,0.362,0.443,0.195,76,102
TXN000197,S002,2024-11-09,Saturday,410,14378.48,35.07,267,237,369,124,0.387,0.466,0.147,71,96
TXN000198,S003,2024-11-09,Saturday,313,16823.19,53.75,226,175,288,91,0.404,0.471,0.126,47,69
TXN000199,S004,2024-11-09,Saturday,357,12734.73,35.67,253,221,288,115,0.378,0.419,0.203,61,102
TXN000200,S005,2024-11-09,Saturday,424,19113.04,45.08,287,267,385,119,0.392,0.454,0.154,77,97
TXN000201,S001,2024-11-10,Sunday,250,12051.06,48.2,168,145,202,86,0.412,0.473,0.115,53,60
TXN000202,S002,2024-11-10,Sunday,319,17368.21,54.45,237,196,292,89,0.379,0.412,0.209,59,87
TXN000203,S003,2024-11-10,Sunday,238,12372.86,51.99,161,147,219,81,0.389,0.477,0.133,48,50
TXN000204,S004,2024-11-10,Sunday,267,10430.82,39.07,190,171,247,69,0.401,0.415,0.184,47,71
TXN000205,S005,2024-11-10,Sunday,360,18890.07,52.47,240,225,327,110,0.384,0.47,0.147,65,106
TXN000206,S001,2024-11-11,Monday,239,12844.62,53.74,178,134,227,71,0.367,0.448,0.185,40,69
TXN000207,S002,2024-11-11,Monday,324,16365.33,50.51,222,195,276,89,0.386,0.44,0.174,51,96
TXN000208,S003,2024-11-11,Monday,237,12275.33,51.79,175,139,204,72,0.365,0.412,0.223,41,69
TXN000209,S004,2024-11-11,Monday,296,12832.06,43.35,196,172,253,98,0.385,0.452,0.163,64,66
TXN000210,S005,2024-11-11,Monday,383,20808.45,54.33,273,229,316,126,0.362,0.458,0.181,76,111
TXN000211,S001,2024-11-12,Tuesday,283,13537.64,47.84,185,156,262,97,0.397,0.461,0.142,54,80
TXN000212,S002,2024-11-12,Tuesday,294,14448.16,49.14,191,176,251,91,0.397,0.449,0.154,58,73
TXN000213,S003,2024-11-12,Tuesday,204,9390.71,46.03,132,123,171,70,0.351,0.465,0.184,44,57
TXN000214,S004,2024-11-12,Tuesday,325,12070.61,37.14,214,183,269,98,0.407,0.421,0.172,61,77
TXN000215,S005,2024-11-12,Tuesday,340,15742.01,46.3,254,194,306,113,0.396,0.469,0.136,76,71
TXN000216,S001,2024-11-13,Wednesday,269,12388.53,46.05,176,148,222,80,0.38,0.463,0.157,55,76
TXN000217,S002,2024-11-13,Wednesday,281,12803.25,45.56,183,160,261,95,0.383,0.404,0.213,44,82
TXN000218,S003,2024-11-13,Wednesday,268,12400.41,46.27,175,172,227,92,0.391,0.46,0.149,59,64
TXN000219,S004,2024-11-13,Wednesday,253,9677.0,38.25,170,160,217,85,0.373,0.46,0.166,41,75
TXN000220,S005,2024-11-13,Wednesday,373,16790.91,45.02,278,207,322,124,0.374,0.462,0.165,91,89
TXN000221,S001,2024-11-14,Thursday,302,10748.94,35.59,204,196,263,86,0.416,0.435,0.15,65,80
TXN000222,S002,2024-11-14,Thursday,280,13264.25,47.37,204,173,227,74,0.4,0.451,0.149,62,64
TXN000223,S003,2024-11-14,Thursday,211,7406.92,35.1,143,123,177,55,0.363,0.436,0.201,43,50
TXN000224,S004,2024-11-14,Thursday,248,10435.41,42.08,163,151,210,71,0.37,0.431,0.199,39,71
TXN000225,S005,2024-11-14,Thursday,392,21388.88,54.56,277,222,335,103,0.371,0.439,0.189,61,95
TXN000226,S001,2024-11-15,Friday,382,17069.53,44.68,251,219,319,119,0.392,0.416,0.193,61,88
TXN000227,S002,2024-11-15,Friday,508,21155.33,41.64,361,320,431,144,0.407,0.469,0.124,125,108
TXN000228,S003,2024-11-15,Friday,317,17100.75,53.95,212,184,299,109,0.37,0.456,0.174,63,81
TXN000229,S004,2024-11-15,Friday,374,15902.89,42.52,273,220,305,114,0.391,0.444,0.165,81,95
TXN000230,S005,2024-11-15,Friday,556,24593.24,44.23,400,330,469,177,0.407,0.464,0.129,106,138
TXN000231,S001,2024-11-16,Saturday,407,16215.05,39.84,291,252,373,104,0.419,0.438,0.142,77,102
TXN000232,S002,2024-11-16,Saturday,504,24612.43,48.83,354,317,430,171,0.388,0.451,0.161,79,139
TXN000233,S003,2024-11-16,Saturday,351,14777.16,42.1,250,194,332,111,0.378,0.46,0.162,86,85
TXN000234,S004,2024-11-16,Saturday,346,13900.47,40.17,242,208,306,106,0.381,0.431,0.188,78,89
TXN000235,S005,2024-11-16,Saturday,490,20530.68,41.9,319,274,422,169,0.358,0.475,0.167,80,113
TXN000236,S001,2024-11-17,Sunday,276,10801.91,39.14,192,164,238,88,0.372,0.424,0.204,63,58
TXN000237,S002,2024-11-17,Sunday,353,16929.67,47.96,253,199,334,96,0.362,0.413,0.225,72,104
TXN000238,S003,2024-11-17,Sunday,220,9482.21,43.1,147,135,190,55,0.393,0.416,0.191,46,52
TXN000239,S004,2024-11-17,Sunday,307,12008.52,39.12,222,193,248,79,0.411,0.415,0.174,56,75
TXN000240,S005,2024-11-17,Sunday,325,16982.14,52.25,228,199,289,101,0.391,0.428,0.181,76,85
TXN000241,S001,2024-11-18,Monday,306,15030.65,49.12,208,187,248,80,0.358,0.424,0.217,51,82
TXN000242,S002,2024-11-18,Monday,321,13920.1,43.36,213,188,265,100,0.399,0.452,0.15,80,82
TXN000243,S003,2024-11-18,Monday,239,9035.62,37.81,162,142,193,68,0.351,0.411,0.238,55,70
TXN000244,S004,2024-11-18,Monday,290,13020.83,44.9,208,171,268,86,0.356,0.402,0.242,65,66
TXN000245,S005,2024-11-18,Monday,326,14915.21,45.75,217,194,297,106,0.388,0.409,0.202,52,90
