pricing_id,competitor_id,competitor_name,product_name,category,date,regular_price_sar,promo_price_sar,on_promotion,competitor_type
PRICE00044,COMP001,McDonald's,Soft Drink Large,BEVERAGE,2024-10-16,10.69,,NO,Global Chain
PRICE00045,COMP001,McDonald's,Soft Drink Large,BEVERAGE,2024-10-31,9.52,8.09,YES,Global Chain
PRICE00046,COMP001,McDonald's,Soft Drink Large,BEVERAGE,2024-11-15,9.55,,NO,Global Chain
PRICE00047,COMP001,McDonald's,Soft Drink Large,BEVERAGE,2024-11-30,10.42,,NO,Global Chain
PRICE00048,COMP001,McDonald's,Soft Drink Large,BEVERAGE,2024-12-15,9.49,,NO,Global Chain
PRICE00049,COMP001,McDonald's,Combo Meal,COMBO,2024-10-01,45.12,,NO,Global Chain
PRICE00050,COMP001,McDonald's,Combo Meal,COMBO,2024-10-16,44.99,,NO,Global Chain
PRICE00051,COMP001,McDonald's,Combo Meal,COMBO,2024-10-31,39.77,,NO,Global Chain
PRICE00052,COMP001,McDonald's,Combo Meal,COMBO,2024-11-15,43.41,,NO,Global Chain
PRICE00053,COMP001,McDonald's,Combo Meal,COMBO,2024-11-30,41.16,,NO,Global Chain
PRICE00054,COMP001,McDonald's,Combo Meal,COMBO,2024-12-15,40.32,,NO,Global Chain
PRICE00055,COMP001,McDonald's,Family Meal,COMBO,2024-10-01,105.44,,NO,Global Chain
PRICE00056,COMP001,McDonald's,Family Meal,COMBO,2024-10-16,111.17,,NO,Global Chain
PRICE00057,COMP001,McDonald's,Family Meal,COMBO,2024-10-31,106.08,,NO,Global Chain
PRICE00058,COMP001,McDonald's,Family Meal,COMBO,2024-11-15,111.67,,NO,Global Chain
PRICE00059,COMP001,McDonald's,Family Meal,COMBO,2024-11-30,103.33,,NO,Global Chain
PRICE00060,COMP001,McDonald's,Family Meal,COMBO,2024-12-15,107.55,,NO,Global Chain
PRICE00061,COMP002,Burger King,Signature Burger,BURGER,2024-10-01,32.31,,NO,Global Chain
PRICE00062,COMP002,Burger King,Signature Burger,BURGER,2024-10-16,32.38,,NO,Global Chain
PRICE00063,COMP002,Burger King,Signature Burger,BURGER,2024-10-31,29.26,,NO,Global Chain
PRICE00064,COMP002,Burger King,Signature Burger,BURGER,2024-11-15,29.34,,NO,Global Chain
PRICE00065,COMP002,Burger King,Signature Burger,BURGER,2024-11-30,32.78,,NO,Global Chain
PRICE00066,COMP002,Burger King,Signature Burger,BURGER,2024-12-15,30.49,25.92,YES,Global Chain
PRICE00067,COMP002,Burger King,Value Burger,BURGER,2024-10-01,21.07,,NO,Global Chain
PRICE00068,COMP002,Burger King,Value Burger,BURGER,2024-10-16,19.03,,NO,Global Chain
PRICE00069,COMP002,Burger King,Value Burger,BURGER,2024-10-31,18.99,,NO,Global Chain
PRICE00070,COMP002,Burger King,Value Burger,BURGER,2024-11-15,20.78,17.66,YES,Global Chain
PRICE00071,COMP002,Burger King,Value Burger,BURGER,2024-11-30,20.03,,NO,Global Chain
PRICE00072,COMP002,Burger King,Value Burger,BURGER,2024-12-15,19.49,,NO,Global Chain
PRICE00073,COMP002,Burger King,Premium Burger,BURGER,2024-10-01,46.43,,NO,Global Chain
PRICE00074,COMP002,Burger King,Premium Burger,BURGER,2024-10-16,47.13,,NO,Global Chain
PRICE00075,COMP002,Burger King,Premium Burger,BURGER,2024-10-31,45.1,,NO,Global Chain
PRICE00076,COMP002,Burger King,Premium Burger,BURGER,2024-11-15,49.87,,NO,Global Chain
PRICE00077,COMP002,Burger King,Premium Burger,BURGER,2024-11-30,46.52,,NO,Global Chain
PRICE00078,COMP002,Burger King,Premium Burger,BURGER,2024-12-15,44.62,,NO,Global Chain
PRICE00079,COMP002,Burger King,Chicken Burger,BURGER,2024-10-01,27.33,,NO,Global Chain
PRICE00080,COMP002,Burger King,Chicken Burger,BURGER,2024-10-16,26.95,,NO,Global Chain
PRICE00081,COMP002,Burger King,Chicken Burger,BURGER,2024-10-31,26.38,,NO,Global Chain
PRICE00082,COMP002,Burger King,Chicken Burger,BURGER,2024-11-15,26.94,,NO,Global Chain
PRICE00083,COMP002,Burger King,Chicken Burger,BURGER,2024-11-30,29.2,24.82,YES,Global Chain
PRICE00084,COMP002,Burger King,Chicken Burger,BURGER,2024-12-15,26.98,,NO,Global Chain
PRICE00085,COMP002,Burger King,Regular Fries,SIDES,2024-10-01,8.61,7.32,YES,Global Chain
PRICE00086,COMP002,Burger King,Regular Fries,SIDES,2024-10-16,9.43,,NO,Global Chain
PRICE00087,COMP002,Burger King,Regular Fries,SIDES,2024-10-31,8.9,,NO,Global Chain
PRICE00088,COMP002,Burger King,Regular Fries,SIDES,2024-11-15,9.28,,NO,Global Chain
PRICE00089,COMP002,Burger King,Regular Fries,SIDES,2024-11-30,8.47,,NO,Global Chain
PRICE00090,COMP002,Burger King,Regular Fries,SIDES,2024-12-15,8.84,,NO,Global Chain
PRICE00091,COMP002,Burger King,Large Fries,SIDES,2024-10-01,13.79,,NO,Global Chain
PRICE00092,COMP002,Burger King,Large Fries,SIDES,2024-10-16,14.23,12.1,YES,Global Chain
PRICE00093,COMP002,Burger King,Large Fries,SIDES,2024-10-31,13.23,,NO,Global Chain
PRICE00094,COMP002,Burger King,Large Fries,SIDES,2024-11-15,14.02,,NO,Global Chain
PRICE00095,COMP002,Burger King,Large Fries,SIDES,2024-11-30,12.87,,NO,Global Chain
PRICE00096,COMP002,Burger King,Large Fries,SIDES,2024-12-15,13.26,,NO,Global Chain
PRICE00097,COMP002,Burger King,Soft Drink Regular,BEVERAGE,2024-10-01,6.48,,NO,Global Chain
PRICE00098,COMP002,Burger King,Soft Drink Regular,BEVERAGE,2024-10-16,6.65,,NO,Global Chain
PRICE00099,COMP002,Burger King,Soft Drink Regular,BEVERAGE,2024-10-31,6.74,5.73,YES,Global Chain
PRICE00100,COMP002,Burger King,Soft Drink Regular,BEVERAGE,2024-11-15,7.13,,NO,Global Chain
PRICE00101,COMP002,Burger King,Soft Drink Regular,BEVERAGE,2024-11-30,7.1,,NO,Global Chain
PRICE00102,COMP002,Burger King,Soft Drink Regular,BEVERAGE,2024-12-15,7.0,,NO,Global Chain
PRICE00103,COMP002,Burger King,Soft Drink Large,BEVERAGE,2024-10-01,10.03,,NO,Global Chain
PRICE00104,COMP002,Burger King,Soft Drink Large,BEVERAGE,2024-10-16,9.92,8.43,YES,Global Chain
PRICE00105,COMP002,Burger King,Soft Drink Large,BEVERAGE,2024-10-31,9.89,,NO,Global Chain
PRICE00106,COMP002,Burger King,Soft Drink Large,BEVERAGE,2024-11-15,9.75,,NO,Global Chain
PRICE00107,COMP002,Burger King,Soft Drink Large,BEVERAGE,2024-11-30,9.99,,NO,Global Chain
PRICE00108,COMP002,Burger King,Soft Drink Large,BEVERAGE,2024-12-15,10.64,,NO,Global Chain
PRICE00109,COMP002,Burger King,Combo Meal,COMBO,2024-10-01,42.73,,NO,Global Chain
PRICE00110,COMP002,Burger King,Combo Meal,COMBO,2024-10-16,40.55,,NO,Global Chain
PRICE00111,COMP002,Burger King,Combo Meal,COMBO,2024-10-31,44.97,,NO,Global Chain
PRICE00112,COMP002,Burger King,Combo Meal,COMBO,2024-11-15,42.66,,NO,Global Chain
PRICE00113,COMP002,Burger King,Combo Meal,COMBO,2024-11-30,40.02,,NO,Global Chain
PRICE00114,COMP002,Burger King,Combo Meal,COMBO,2024-12-15,42.44,,NO,Global Chain
PRICE00115,COMP002,Burger King,Family Meal,COMBO,2024-10-01,101.41,,NO,Global Chain
PRICE00116,COMP002,Burger King,Family Meal,COMBO,2024-10-16,100.36,,NO,Global Chain
PRICE00117,COMP002,Burger King,Family Meal,COMBO,2024-10-31,107.36,,NO,Global Chain
PRICE00118,COMP002,Burger King,Family Meal,COMBO,2024-11-15,102.47,87.1,YES,Global Chain
PRICE00119,COMP002,Burger King,Family Meal,COMBO,2024-11-30,111.37,,NO,Global Chain
PRICE00120,COMP002,Burger King,Family Meal,COMBO,2024-12-15,107.35,,NO,Global Chain
PRICE00121,COMP003,Five Guys,Signature Burger,BURGER,2024-10-01,42.19,,NO,Global Chain
PRICE00122,COMP003,Five Guys,Signature Burger,BURGER,2024-10-16,42.75,,NO,Global Chain
PRICE00123,COMP003,Five Guys,Signature Burger,BURGER,2024-10-31,41.02,,NO,Global Chain
PRICE00124,COMP003,Five Guys,Signature Burger,BURGER,2024-11-15,41.2,,NO,Global Chain
PRICE00125,COMP003,Five Guys,Signature Burger,BURGER,2024-11-30,43.57,,NO,Global Chain
PRICE00126,COMP003,Five Guys,Signature Burger,BURGER,2024-12-15,41.63,,NO,Global Chain
PRICE00127,COMP003,Five Guys,Value Burger,BURGER,2024-10-01,25.9,,NO,Global Chain
PRICE00128,COMP003,Five Guys,Value Burger,BURGER,2024-10-16,29.15,,NO,Global Chain
PRICE00129,COMP003,Five Guys,Value Burger,BURGER,2024-10-31,25.91,,NO,Global Chain
PRICE00130,COMP003,Five Guys,Value Burger,BURGER,2024-11-15,26.58,,NO,Global Chain
PRICE00131,COMP003,Five Guys,Value Burger,BURGER,2024-11-30,28.74,,NO,Global Chain
PRICE00132,COMP003,Five Guys,Value Burger,BURGER,2024-12-15,26.95,,NO,Global Chain
PRICE00133,COMP003,Five Guys,Premium Burger,BURGER,2024-10-01,66.68,,NO,Global Chain
PRICE00134,COMP003,Five Guys,Premium Burger,BURGER,2024-10-16,64.86,,NO,Global Chain
PRICE00135,COMP003,Five Guys,Premium Burger,BURGER,2024-10-31,65.21,55.43,YES,Global Chain
PRICE00136,COMP003,Five Guys,Premium Burger,BURGER,2024-11-15,66.54,,NO,Global Chain
PRICE00137,COMP003,Five Guys,Premium Burger,BURGER,2024-11-30,65.28,,NO,Global Chain
PRICE00138,COMP003,Five Guys,Premium Burger,BURGER,2024-12-15,60.95,51.81,YES,Global Chain
PRICE00139,COMP003,Five Guys,Chicken Burger,BURGER,2024-10-01,36.15,,NO,Global Chain
PRICE00140,COMP003,Five Guys,Chicken Burger,BURGER,2024-10-16,36.95,,NO,Global Chain
PRICE00141,COMP003,Five Guys,Chicken Burger,BURGER,2024-10-31,39.12,,NO,Global Chain
PRICE00142,COMP003,Five Guys,Chicken Burger,BURGER,2024-11-15,38.72,,NO,Global Chain
PRICE00143,COMP003,Five Guys,Chicken Burger,BURGER,2024-11-30,38.01,,NO,Global Chain
PRICE00144,COMP003,Five Guys,Chicken Burger,BURGER,2024-12-15,39.75,33.79,YES,Global Chain
PRICE00145,COMP003,Five Guys,Regular Fries,SIDES,2024-10-01,12.06,,NO,Global Chain
PRICE00146,COMP003,Five Guys,Regular Fries,SIDES,2024-10-16,11.41,,NO,Global Chain
PRICE00147,COMP003,Five Guys,Regular Fries,SIDES,2024-10-31,12.39,,NO,Global Chain
PRICE00148,COMP003,Five Guys,Regular Fries,SIDES,2024-11-15,12.56,,NO,Global Chain
PRICE00149,COMP003,Five Guys,Regular Fries,SIDES,2024-11-30,12.07,10.26,YES,Global Chain
PRICE00150,COMP003,Five Guys,Regular Fries,SIDES,2024-12-15,11.52,,NO,Global Chain
PRICE00151,COMP003,Five Guys,Large Fries,SIDES,2024-10-01,19.22,,NO,Global Chain
PRICE00152,COMP003,Five Guys,Large Fries,SIDES,2024-10-16,19.05,,NO,Global Chain
PRICE00153,COMP003,Five Guys,Large Fries,SIDES,2024-10-31,17.45,14.83,YES,Global Chain
PRICE00154,COMP003,Five Guys,Large Fries,SIDES,2024-11-15,17.82,,NO,Global Chain
PRICE00155,COMP003,Five Guys,Large Fries,SIDES,2024-11-30,18.96,,NO,Global Chain
PRICE00156,COMP003,Five Guys,Large Fries,SIDES,2024-12-15,19.2,,NO,Global Chain
PRICE00157,COMP003,Five Guys,Soft Drink Regular,BEVERAGE,2024-10-01,8.84,7.51,YES,Global Chain
PRICE00158,COMP003,Five Guys,Soft Drink Regular,BEVERAGE,2024-10-16,9.46,,NO,Global Chain
PRICE00159,COMP003,Five Guys,Soft Drink Regular,BEVERAGE,2024-10-31,9.03,,NO,Global Chain
PRICE00160,COMP003,Five Guys,Soft Drink Regular,BEVERAGE,2024-11-15,8.73,,NO,Global Chain
PRICE00161,COMP003,Five Guys,Soft Drink Regular,BEVERAGE,2024-11-30,9.56,,NO,Global Chain
PRICE00162,COMP003,Five Guys,Soft Drink Regular,BEVERAGE,2024-12-15,9.5,,NO,Global Chain
PRICE00163,COMP003,Five Guys,Soft Drink Large,BEVERAGE,2024-10-01,12.87,,NO,Global Chain
PRICE00164,COMP003,Five Guys,Soft Drink Large,BEVERAGE,2024-10-16,13.41,,NO,Global Chain
PRICE00165,COMP003,Five Guys,Soft Drink Large,BEVERAGE,2024-10-31,14.23,,NO,Global Chain
PRICE00166,COMP003,Five Guys,Soft Drink Large,BEVERAGE,2024-11-15,14.25,,NO,Global Chain
PRICE00167,COMP003,Five Guys,Soft Drink Large,BEVERAGE,2024-11-30,14.21,12.08,YES,Global Chain
PRICE00168,COMP003,Five Guys,Soft Drink Large,BEVERAGE,2024-12-15,14.36,,NO,Global Chain
PRICE00169,COMP003,Five Guys,Combo Meal,COMBO,2024-10-01,55.8,,NO,Global Chain
PRICE00170,COMP003,Five Guys,Combo Meal,COMBO,2024-10-16,57.56,,NO,Global Chain
PRICE00171,COMP003,Five Guys,Combo Meal,COMBO,2024-10-31,60.04,,NO,Global Chain
PRICE00172,COMP003,Five Guys,Combo Meal,COMBO,2024-11-15,54.33,,NO,Global Chain
PRICE00173,COMP003,Five Guys,Combo Meal,COMBO,2024-11-30,56.58,,NO,Global Chain
PRICE00174,COMP003,Five Guys,Combo Meal,COMBO,2024-12-15,61.31,,NO,Global Chain
PRICE00175,COMP003,Five Guys,Family Meal,COMBO,2024-10-01,147.26,,NO,Global Chain
PRICE00176,COMP003,Five Guys,Family Meal,COMBO,2024-10-16,153.55,,NO,Global Chain
PRICE00177,COMP003,Five Guys,Family Meal,COMBO,2024-10-31,152.77,129.85,YES,Global Chain
PRICE00178,COMP003,Five Guys,Family Meal,COMBO,2024-11-15,153.35,,NO,Global Chain
PRICE00179,COMP003,Five Guys,Family Meal,COMBO,2024-11-30,153.21,,NO,Global Chain
PRICE00180,COMP003,Five Guys,Family Meal,COMBO,2024-12-15,137.38,,NO,Global Chain
PRICE00181,COMP004,Shake Shack,Signature Burger,BURGER,2024-10-01,43.88,,NO,Global Chain
PRICE00182,COMP004,Shake Shack,Signature Burger,BURGER,2024-10-16,43.21,,NO,Global Chain
PRICE00183,COMP004,Shake Shack,Signature Burger,BURGER,2024-10-31,42.0,,NO,Global Chain
PRICE00184,COMP004,Shake Shack,Signature Burger,BURGER,2024-11-15,41.29,,NO,Global Chain
PRICE00185,COMP004,Shake Shack,Signature Burger,BURGER,2024-11-30,39.91,,NO,Global Chain
PRICE00186,COMP004,Shake Shack,Signature Burger,BURGER,2024-12-15,42.84,,NO,Global Chain
PRICE00187,COMP004,Shake Shack,Value Burger,BURGER,2024-10-01,28.25,,NO,Global Chain
PRICE00188,COMP004,Shake Shack,Value Burger,BURGER,2024-10-16,26.93,22.89,YES,Global Chain
PRICE00189,COMP004,Shake Shack,Value Burger,BURGER,2024-10-31,27.98,,NO,Global Chain
PRICE00190,COMP004,Shake Shack,Value Burger,BURGER,2024-11-15,26.75,,NO,Global Chain
PRICE00191,COMP004,Shake Shack,Value Burger,BURGER,2024-11-30,28.18,,NO,Global Chain
PRICE00192,COMP004,Shake Shack,Value Burger,BURGER,2024-12-15,26.74,,NO,Global Chain
PRICE00193,COMP004,Shake Shack,Premium Burger,BURGER,2024-10-01,63.15,,NO,Global Chain
PRICE00194,COMP004,Shake Shack,Premium Burger,BURGER,2024-10-16,60.89,,NO,Global Chain
PRICE00195,COMP004,Shake Shack,Premium Burger,BURGER,2024-10-31,67.55,,NO,Global Chain
PRICE00196,COMP004,Shake Shack,Premium Burger,BURGER,2024-11-15,67.24,,NO,Global Chain
PRICE00197,COMP004,Shake Shack,Premium Burger,BURGER,2024-11-30,62.31,,NO,Global Chain
PRICE00198,COMP004,Shake Shack,Premium Burger,BURGER,2024-12-15,59.85,,NO,Global Chain
PRICE00199,COMP004,Shake Shack,Chicken Burger,BURGER,2024-10-01,37.72,,NO,Global Chain
PRICE00200,COMP004,Shake Shack,Chicken Burger,BURGER,2024-10-16,38.82,,NO,Global Chain
PRICE00201,COMP004,Shake Shack,Chicken Burger,BURGER,2024-10-31,37.78,,NO,Global Chain
PRICE00202,COMP004,Shake Shack,Chicken Burger,BURGER,2024-11-15,37.93,,NO,Global Chain
PRICE00203,COMP004,Shake Shack,Chicken Burger,BURGER,2024-11-30,39.51,,NO,Global Chain
PRICE00204,COMP004,Shake Shack,Chicken Burger,BURGER,2024-12-15,36.04,,NO,Global Chain
PRICE00205,COMP004,Shake Shack,Regular Fries,SIDES,2024-10-01,12.39,,NO,Global Chain
PRICE00206,COMP004,Shake Shack,Regular Fries,SIDES,2024-10-16,12.68,,NO,Global Chain
PRICE00207,COMP004,Shake Shack,Regular Fries,SIDES,2024-10-31,12.45,,NO,Global Chain
PRICE00208,COMP004,Shake Shack,Regular Fries,SIDES,2024-11-15,11.71,9.95,YES,Global Chain
PRICE00209,COMP004,Shake Shack,Regular Fries,SIDES,2024-11-30,11.78,,NO,Global Chain
PRICE00210,COMP004,Shake Shack,Regular Fries,SIDES,2024-12-15,12.73,10.82,YES,Global Chain
PRICE00211,COMP004,Shake Shack,Large Fries,SIDES,2024-10-01,18.07,,NO,Global Chain
PRICE00212,COMP004,Shake Shack,Large Fries,SIDES,2024-10-16,17.55,,NO,Global Chain
PRICE00213,COMP004,Shake Shack,Large Fries,SIDES,2024-10-31,18.26,,NO,Global Chain
PRICE00214,COMP004,Shake Shack,Large Fries,SIDES,2024-11-15,18.64,15.84,YES,Global Chain
PRICE00215,COMP004,Shake Shack,Large Fries,SIDES,2024-11-30,18.86,,NO,Global Chain
PRICE00216,COMP004,Shake Shack,Large Fries,SIDES,2024-12-15,17.35,,NO,Global Chain
PRICE00217,COMP004,Shake Shack,Soft Drink Regular,BEVERAGE,2024-10-01,8.76,,NO,Global Chain
PRICE00218,COMP004,Shake Shack,Soft Drink Regular,BEVERAGE,2024-10-16,9.16,7.79,YES,Global Chain
PRICE00219,COMP004,Shake Shack,Soft Drink Regular,BEVERAGE,2024-10-31,8.84,,NO,Global Chain
PRICE00220,COMP004,Shake Shack,Soft Drink Regular,BEVERAGE,2024-11-15,9.08,,NO,Global Chain
PRICE00221,COMP004,Shake Shack,Soft Drink Regular,BEVERAGE,2024-11-30,9.33,,NO,Global Chain
PRICE00222,COMP004,Shake Shack,Soft Drink Regular,BEVERAGE,2024-12-15,9.25,,NO,Global Chain
PRICE00223,COMP004,Shake Shack,Soft Drink Large,BEVERAGE,2024-10-01,14.39,,NO,Global Chain
PRICE00224,COMP004,Shake Shack,Soft Drink Large,BEVERAGE,2024-10-16,14.09,,NO,Global Chain
PRICE00225,COMP004,Shake Shack,Soft Drink Large,BEVERAGE,2024-10-31,14.28,,NO,Global Chain
PRICE00226,COMP004,Shake Shack,Soft Drink Large,BEVERAGE,2024-11-15,14.4,,NO,Global Chain
PRICE00227,COMP004,Shake Shack,Soft Drink Large,BEVERAGE,2024-11-30,13.66,,NO,Global Chain
PRICE00228,COMP004,Shake Shack,Soft Drink Large,BEVERAGE,2024-12-15,13.26,,NO,Global Chain
PRICE00229,COMP004,Shake Shack,Combo Meal,COMBO,2024-10-01,59.82,,NO,Global Chain
PRICE00230,COMP004,Shake Shack,Combo Meal,COMBO,2024-10-16,58.79,,NO,Global Chain
PRICE00231,COMP004,Shake Shack,Combo Meal,COMBO,2024-10-31,54.72,,NO,Global Chain
PRICE00232,COMP004,Shake Shack,Combo Meal,COMBO,2024-11-15,56.16,,NO,Global Chain
PRICE00233,COMP004,Shake Shack,Combo Meal,COMBO,2024-11-30,58.15,49.43,YES,Global Chain
PRICE00234,COMP004,Shake Shack,Combo Meal,COMBO,2024-12-15,55.86,,NO,Global Chain
PRICE00235,COMP004,Shake Shack,Family Meal,COMBO,2024-10-01,148.46,126.19,YES,Global Chain
PRICE00236,COMP004,Shake Shack,Family Meal,COMBO,2024-10-16,142.93,,NO,Global Chain
PRICE00237,COMP004,Shake Shack,Family Meal,COMBO,2024-10-31,143.08,,NO,Global Chain
PRICE00238,COMP004,Shake Shack,Family Meal,COMBO,2024-11-15,143.16,,NO,Global Chain
PRICE00239,COMP004,Shake Shack,Family Meal,COMBO,2024-11-30,146.2,,NO,Global Chain
PRICE00240,COMP004,Shake Shack,Family Meal,COMBO,2024-12-15,151.25,,NO,Global Chain
PRICE00241,COMP005,Kudu,Signature Burger,BURGER,2024-10-01,25.19,21.41,YES,Local Chain
PRICE00242,COMP005,Kudu,Signature Burger,BURGER,2024-10-16,25.09,,NO,Local Chain
PRICE00243,COMP005,Kudu,Signature Burger,BURGER,2024-10-31,26.74,,NO,Local Chain
PRICE00244,COMP005,Kudu,Signature Burger,BURGER,2024-11-15,25.31,,NO,Local Chain
PRICE00245,COMP005,Kudu,Signature Burger,BURGER,2024-11-30,25.73,,NO,Local Chain
PRICE00246,COMP005,Kudu,Signature Burger,BURGER,2024-12-15,24.66,,NO,Local Chain
PRICE00247,COMP005,Kudu,Value Burger,BURGER,2024-10-01,16.31,13.86,YES,Local Chain
PRICE00248,COMP005,Kudu,Value Burger,BURGER,2024-10-16,16.1,,NO,Local Chain
PRICE00249,COMP005,Kudu,Value Burger,BURGER,2024-10-31,16.24,,NO,Local Chain
PRICE00250,COMP005,Kudu,Value Burger,BURGER,2024-11-15,16.37,13.91,YES,Local Chain
PRICE00251,COMP005,Kudu,Value Burger,BURGER,2024-11-30,16.7,14.19,YES,Local Chain
PRICE00252,COMP005,Kudu,Value Burger,BURGER,2024-12-15,16.22,,NO,Local Chain
PRICE00253,COMP005,Kudu,Premium Burger,BURGER,2024-10-01,36.04,,NO,Local Chain
PRICE00254,COMP005,Kudu,Premium Burger,BURGER,2024-10-16,36.58,,NO,Local Chain
PRICE00255,COMP005,Kudu,Premium Burger,BURGER,2024-10-31,36.16,,NO,Local Chain
PRICE00256,COMP005,Kudu,Premium Burger,BURGER,2024-11-15,36.95,,NO,Local Chain
PRICE00257,COMP005,Kudu,Premium Burger,BURGER,2024-11-30,39.65,,NO,Local Chain
PRICE00258,COMP005,Kudu,Premium Burger,BURGER,2024-12-15,39.61,,NO,Local Chain
PRICE00259,COMP005,Kudu,Chicken Burger,BURGER,2024-10-01,22.11,18.79,YES,Local Chain
PRICE00260,COMP005,Kudu,Chicken Burger,BURGER,2024-10-16,21.43,,NO,Local Chain
PRICE00261,COMP005,Kudu,Chicken Burger,BURGER,2024-10-31,24.3,,NO,Local Chain
PRICE00262,COMP005,Kudu,Chicken Burger,BURGER,2024-11-15,23.28,,NO,Local Chain
PRICE00263,COMP005,Kudu,Chicken Burger,BURGER,2024-11-30,23.28,,NO,Local Chain
PRICE00264,COMP005,Kudu,Chicken Burger,BURGER,2024-12-15,24.15,,NO,Local Chain
PRICE00265,COMP005,Kudu,Regular Fries,SIDES,2024-10-01,6.86,,NO,Local Chain
PRICE00266,COMP005,Kudu,Regular Fries,SIDES,2024-10-16,6.96,,NO,Local Chain
