inventory_id,store_id,product_id,product_name,category,date,current_stock,unit,reorder_point,max_capacity,days_on_hand,stock_status,unit_cost_sar
INV000036,S003,P006,Tomatoes,RAW_MATERIAL,2024-10-01,274,kg,91,439,5.0,NORMAL,4
INV000037,S003,P007,Cheese Slices,RAW_MATERIAL,2024-10-01,126,units,57,273,3.7,NORMAL,0.3
INV000038,S003,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-01,159,liters,54,259,4.9,NORMAL,25
INV000039,S003,P009,Cooking Oil,RAW_MATERIAL,2024-10-01,229,liters,101,486,3.8,NORMAL,18
INV000040,S003,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-01,237,liters,77,369,5.1,NORMAL,20
INV000041,S003,P011,Packaging Boxes,PACKAGING,2024-10-01,372,units,122,588,5.1,NORMAL,0.8
INV000042,S003,P012,Paper Cups,PACKAGING,2024-10-01,197,units,90,433,3.6,NORMAL,0.15
INV000043,S003,P013,Plastic Cutlery Sets,PACKAGING,2024-10-01,276,units,113,546,4.0,NORMAL,0.1
INV000044,S003,P014,Napkins,PACKAGING,2024-10-01,228,packs,108,520,3.5,NORMAL,2.5
INV000045,S003,P015,Ketchup Sachets,CONDIMENTS,2024-10-01,151,units,67,325,3.7,NORMAL,0.05
INV000046,S004,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-01,397,kg,121,730,5.4,NORMAL,15
INV000047,S004,P002,Chicken Breast,RAW_MATERIAL,2024-10-01,384,kg,124,748,5.1,NORMAL,12
INV000048,S004,P003,Burger Buns,RAW_MATERIAL,2024-10-01,378,units,124,747,5.1,NORMAL,0.5
INV000049,S004,P004,French Fries,RAW_MATERIAL,2024-10-01,311,kg,78,468,6.6,NORMAL,8
INV000050,S004,P005,Lettuce,RAW_MATERIAL,2024-10-01,217,kg,67,405,5.4,NORMAL,5
INV000051,S004,P006,Tomatoes,RAW_MATERIAL,2024-10-01,221,kg,61,369,6.0,NORMAL,4
INV000052,S004,P007,Cheese Slices,RAW_MATERIAL,2024-10-01,169,units,64,384,4.4,NORMAL,0.3
INV000053,S004,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-01,257,liters,70,421,6.1,NORMAL,25
INV000054,S004,P009,Cooking Oil,RAW_MATERIAL,2024-10-01,348,liters,104,624,5.6,NORMAL,18
INV000055,S004,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-01,298,liters,99,595,5.0,NORMAL,20
INV000056,S004,P011,Packaging Boxes,PACKAGING,2024-10-01,356,units,109,658,5.4,NORMAL,0.8
INV000057,S004,P012,Paper Cups,PACKAGING,2024-10-01,456,units,120,724,6.3,NORMAL,0.15
INV000058,S004,P013,Plastic Cutlery Sets,PACKAGING,2024-10-01,178,units,51,307,5.8,NORMAL,0.1
INV000059,S004,P014,Napkins,PACKAGING,2024-10-01,225,packs,64,387,5.8,NORMAL,2.5
INV000060,S004,P015,Ketchup Sachets,CONDIMENTS,2024-10-01,426,units,118,711,6.0,NORMAL,0.05
INV000061,S005,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-01,289,kg,93,673,5.2,NORMAL,15
INV000062,S005,P002,Chicken Breast,RAW_MATERIAL,2024-10-01,335,kg,105,759,5.3,NORMAL,12
INV000063,S005,P003,Burger Buns,RAW_MATERIAL,2024-10-01,236,units,50,361,7.8,NORMAL,0.5
INV000064,S005,P004,French Fries,RAW_MATERIAL,2024-10-01,396,kg,83,601,7.9,NORMAL,8
INV000065,S005,P005,Lettuce,RAW_MATERIAL,2024-10-01,280,kg,72,523,6.4,NORMAL,5
INV000066,S005,P006,Tomatoes,RAW_MATERIAL,2024-10-01,289,kg,63,457,7.6,NORMAL,4
INV000067,S005,P007,Cheese Slices,RAW_MATERIAL,2024-10-01,395,units,88,633,7.5,NORMAL,0.3
INV000068,S005,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-01,464,liters,114,826,6.7,NORMAL,25
INV000069,S005,P009,Cooking Oil,RAW_MATERIAL,2024-10-01,250,liters,69,500,6.0,NORMAL,18
INV000070,S005,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-01,276,liters,70,507,6.5,NORMAL,20
INV000071,S005,P011,Packaging Boxes,PACKAGING,2024-10-01,546,units,117,847,7.7,NORMAL,0.8
INV000072,S005,P012,Paper Cups,PACKAGING,2024-10-01,348,units,91,657,6.4,NORMAL,0.15
INV000073,S005,P013,Plastic Cutlery Sets,PACKAGING,2024-10-01,299,units,64,462,7.8,NORMAL,0.1
INV000074,S005,P014,Napkins,PACKAGING,2024-10-01,298,packs,89,642,5.6,NORMAL,2.5
INV000075,S005,P015,Ketchup Sachets,CONDIMENTS,2024-10-01,368,units,80,581,7.6,NORMAL,0.05
INV000076,S001,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-07,137,kg,60,324,3.8,NORMAL,15
INV000077,S001,P002,Chicken Breast,RAW_MATERIAL,2024-10-07,373,kg,112,604,5.6,NORMAL,12
INV000078,S001,P003,Burger Buns,RAW_MATERIAL,2024-10-07,385,units,118,637,5.4,NORMAL,0.5
INV000079,S001,P004,French Fries,RAW_MATERIAL,2024-10-07,206,kg,66,357,5.2,NORMAL,8
INV000080,S001,P005,Lettuce,RAW_MATERIAL,2024-10-07,288,kg,120,649,4.0,NORMAL,5
INV000081,S001,P006,Tomatoes,RAW_MATERIAL,2024-10-07,401,kg,117,634,5.7,NORMAL,4
INV000082,S001,P007,Cheese Slices,RAW_MATERIAL,2024-10-07,369,units,104,561,5.9,NORMAL,0.3
INV000083,S001,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-07,386,liters,119,642,5.4,NORMAL,25
INV000084,S001,P009,Cooking Oil,RAW_MATERIAL,2024-10-07,240,liters,75,407,5.3,NORMAL,18
INV000085,S001,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-07,362,liters,101,545,6.0,NORMAL,20
INV000086,S001,P011,Packaging Boxes,PACKAGING,2024-10-07,272,units,97,527,4.6,NORMAL,0.8
INV000087,S001,P012,Paper Cups,PACKAGING,2024-10-07,325,units,116,626,4.7,NORMAL,0.15
INV000088,S001,P013,Plastic Cutlery Sets,PACKAGING,2024-10-07,202,units,81,440,4.1,NORMAL,0.1
INV000089,S001,P014,Napkins,PACKAGING,2024-10-07,204,packs,93,503,3.6,NORMAL,2.5
INV000090,S001,P015,Ketchup Sachets,CONDIMENTS,2024-10-07,300,units,120,652,4.1,NORMAL,0.05
INV000091,S002,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-07,206,kg,78,514,4.4,NORMAL,15
INV000092,S002,P002,Chicken Breast,RAW_MATERIAL,2024-10-07,174,kg,57,379,5.0,NORMAL,12
INV000093,S002,P003,Burger Buns,RAW_MATERIAL,2024-10-07,224,units,54,356,6.9,NORMAL,0.5
INV000094,S002,P004,French Fries,RAW_MATERIAL,2024-10-07,209,kg,59,389,5.9,NORMAL,8
INV000095,S002,P005,Lettuce,RAW_MATERIAL,2024-10-07,326,kg,85,564,6.4,NORMAL,5
INV000096,S002,P006,Tomatoes,RAW_MATERIAL,2024-10-07,277,kg,77,509,6.0,NORMAL,4
INV000097,S002,P007,Cheese Slices,RAW_MATERIAL,2024-10-07,449,units,123,811,6.1,NORMAL,0.3
INV000098,S002,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-07,325,liters,81,534,6.7,NORMAL,25
INV000099,S002,P009,Cooking Oil,RAW_MATERIAL,2024-10-07,303,liters,102,673,5.0,NORMAL,18
INV000100,S002,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-07,236,liters,62,410,6.3,NORMAL,20
INV000101,S002,P011,Packaging Boxes,PACKAGING,2024-10-07,322,units,95,628,5.6,NORMAL,0.8
INV000102,S002,P012,Paper Cups,PACKAGING,2024-10-07,456,units,109,724,6.9,NORMAL,0.15
INV000103,S002,P013,Plastic Cutlery Sets,PACKAGING,2024-10-07,217,units,56,374,6.4,NORMAL,0.1
INV000104,S002,P014,Napkins,PACKAGING,2024-10-07,171,packs,62,412,4.6,NORMAL,2.5
INV000105,S002,P015,Ketchup Sachets,CONDIMENTS,2024-10-07,377,units,93,615,6.7,NORMAL,0.05
INV000106,S003,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-07,142,kg,63,306,3.7,NORMAL,15
INV000107,S003,P002,Chicken Breast,RAW_MATERIAL,2024-10-07,193,kg,74,356,4.3,NORMAL,12
INV000108,S003,P003,Burger Buns,RAW_MATERIAL,2024-10-07,166,units,67,325,4.1,NORMAL,0.5
INV000109,S003,P004,French Fries,RAW_MATERIAL,2024-10-07,214,kg,85,410,4.2,NORMAL,8
INV000110,S003,P005,Lettuce,RAW_MATERIAL,2024-10-07,147,kg,59,285,4.1,NORMAL,5
INV000111,S003,P006,Tomatoes,RAW_MATERIAL,2024-10-07,245,kg,120,577,3.4,NORMAL,4
INV000112,S003,P007,Cheese Slices,RAW_MATERIAL,2024-10-07,355,units,119,571,5.0,NORMAL,0.3
INV000113,S003,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-07,191,liters,61,296,5.2,NORMAL,25
INV000114,S003,P009,Cooking Oil,RAW_MATERIAL,2024-10-07,171,liters,80,385,3.6,NORMAL,18
INV000115,S003,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-07,284,liters,112,537,4.2,NORMAL,20
INV000116,S003,P011,Packaging Boxes,PACKAGING,2024-10-07,311,units,101,486,5.1,NORMAL,0.8
INV000117,S003,P012,Paper Cups,PACKAGING,2024-10-07,170,units,71,340,4.0,NORMAL,0.15
INV000118,S003,P013,Plastic Cutlery Sets,PACKAGING,2024-10-07,225,units,99,478,3.8,NORMAL,0.1
INV000119,S003,P014,Napkins,PACKAGING,2024-10-07,246,packs,108,518,3.8,NORMAL,2.5
INV000120,S003,P015,Ketchup Sachets,CONDIMENTS,2024-10-07,334,units,121,580,4.6,NORMAL,0.05
INV000121,S004,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-07,297,kg,112,673,4.4,NORMAL,15
INV000122,S004,P002,Chicken Breast,RAW_MATERIAL,2024-10-07,241,kg,87,526,4.6,NORMAL,12
INV000123,S004,P003,Burger Buns,RAW_MATERIAL,2024-10-07,190,units,57,343,5.5,NORMAL,0.5
INV000124,S004,P004,French Fries,RAW_MATERIAL,2024-10-07,297,kg,119,715,4.2,NORMAL,8
INV000125,S004,P005,Lettuce,RAW_MATERIAL,2024-10-07,224,kg,90,540,4.1,NORMAL,5
INV000126,S004,P006,Tomatoes,RAW_MATERIAL,2024-10-07,394,kg,124,748,5.3,NORMAL,4
INV000127,S004,P007,Cheese Slices,RAW_MATERIAL,2024-10-07,312,units,117,706,4.4,NORMAL,0.3
INV000128,S004,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-07,290,liters,115,690,4.2,NORMAL,25
INV000129,S004,P009,Cooking Oil,RAW_MATERIAL,2024-10-07,185,liters,73,442,4.2,NORMAL,18
INV000130,S004,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-07,203,liters,58,351,5.8,NORMAL,20
INV000131,S004,P011,Packaging Boxes,PACKAGING,2024-10-07,243,units,80,480,5.1,NORMAL,0.8
INV000132,S004,P012,Paper Cups,PACKAGING,2024-10-07,342,units,122,736,4.6,NORMAL,0.15
INV000133,S004,P013,Plastic Cutlery Sets,PACKAGING,2024-10-07,186,units,55,330,5.6,NORMAL,0.1
INV000134,S004,P014,Napkins,PACKAGING,2024-10-07,357,packs,103,621,5.7,NORMAL,2.5
INV000135,S004,P015,Ketchup Sachets,CONDIMENTS,2024-10-07,395,units,122,733,5.4,NORMAL,0.05
INV000136,S005,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-07,272,kg,83,599,5.4,NORMAL,15
INV000137,S005,P002,Chicken Breast,RAW_MATERIAL,2024-10-07,300,kg,90,648,5.6,NORMAL,12
INV000138,S005,P003,Burger Buns,RAW_MATERIAL,2024-10-07,314,units,100,723,5.2,NORMAL,0.5
INV000139,S005,P004,French Fries,RAW_MATERIAL,2024-10-07,331,kg,88,635,6.3,NORMAL,8
INV000140,S005,P005,Lettuce,RAW_MATERIAL,2024-10-07,171,kg,59,426,4.8,NORMAL,5
INV000141,S005,P006,Tomatoes,RAW_MATERIAL,2024-10-07,584,kg,122,878,8.0,NORMAL,4
INV000142,S005,P007,Cheese Slices,RAW_MATERIAL,2024-10-07,231,units,59,426,6.5,NORMAL,0.3
INV000143,S005,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-07,388,liters,114,826,5.6,NORMAL,25
INV000144,S005,P009,Cooking Oil,RAW_MATERIAL,2024-10-07,431,liters,94,680,7.6,NORMAL,18
INV000145,S005,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-07,291,liters,81,585,6.0,NORMAL,20
INV000146,S005,P011,Packaging Boxes,PACKAGING,2024-10-07,260,units,70,504,6.2,NORMAL,0.8
INV000147,S005,P012,Paper Cups,PACKAGING,2024-10-07,505,units,119,860,7.0,NORMAL,0.15
INV000148,S005,P013,Plastic Cutlery Sets,PACKAGING,2024-10-07,340,units,117,846,4.8,NORMAL,0.1
INV000149,S005,P014,Napkins,PACKAGING,2024-10-07,417,packs,120,869,5.8,NORMAL,2.5
INV000150,S005,P015,Ketchup Sachets,CONDIMENTS,2024-10-07,296,units,63,455,7.8,NORMAL,0.05
INV000151,S001,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-13,170,kg,67,361,4.2,NORMAL,15
INV000152,S001,P002,Chicken Breast,RAW_MATERIAL,2024-10-13,205,kg,63,342,5.4,NORMAL,12
INV000153,S001,P003,Burger Buns,RAW_MATERIAL,2024-10-13,178,units,69,376,4.3,NORMAL,0.5
INV000154,S001,P004,French Fries,RAW_MATERIAL,2024-10-13,245,kg,76,414,5.3,NORMAL,8
INV000155,S001,P005,Lettuce,RAW_MATERIAL,2024-10-13,239,kg,76,410,5.2,NORMAL,5
INV000156,S001,P006,Tomatoes,RAW_MATERIAL,2024-10-13,241,kg,83,452,4.8,NORMAL,4
INV000157,S001,P007,Cheese Slices,RAW_MATERIAL,2024-10-13,284,units,82,442,5.8,NORMAL,0.3
INV000158,S001,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-13,129,liters,56,305,3.8,NORMAL,25
INV000159,S001,P009,Cooking Oil,RAW_MATERIAL,2024-10-13,348,liters,104,561,5.6,NORMAL,18
INV000160,S001,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-13,120,liters,55,299,3.6,NORMAL,20
INV000161,S001,P011,Packaging Boxes,PACKAGING,2024-10-13,204,units,66,359,5.1,NORMAL,0.8
INV000162,S001,P012,Paper Cups,PACKAGING,2024-10-13,199,units,83,450,4.0,NORMAL,0.15
INV000163,S001,P013,Plastic Cutlery Sets,PACKAGING,2024-10-13,314,units,106,575,4.9,NORMAL,0.1
INV000164,S001,P014,Napkins,PACKAGING,2024-10-13,310,packs,104,564,4.9,NORMAL,2.5
INV000165,S001,P015,Ketchup Sachets,CONDIMENTS,2024-10-13,145,units,64,346,3.8,NORMAL,0.05
INV000166,S002,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-13,248,kg,69,455,6.0,NORMAL,15
INV000167,S002,P002,Chicken Breast,RAW_MATERIAL,2024-10-13,356,kg,97,641,6.1,NORMAL,12
INV000168,S002,P003,Burger Buns,RAW_MATERIAL,2024-10-13,233,units,68,453,5.6,NORMAL,0.5
INV000169,S002,P004,French Fries,RAW_MATERIAL,2024-10-13,175,kg,55,364,5.3,NORMAL,8
INV000170,S002,P005,Lettuce,RAW_MATERIAL,2024-10-13,232,kg,55,363,7.0,NORMAL,5
INV000171,S002,P006,Tomatoes,RAW_MATERIAL,2024-10-13,294,kg,76,506,6.4,NORMAL,4
INV000172,S002,P007,Cheese Slices,RAW_MATERIAL,2024-10-13,205,units,63,415,5.4,NORMAL,0.3
INV000173,S002,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-13,509,liters,121,801,7.0,NORMAL,25
INV000174,S002,P009,Cooking Oil,RAW_MATERIAL,2024-10-13,444,liters,102,673,7.3,NORMAL,18
INV000175,S002,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-13,297,liters,69,460,7.1,NORMAL,20
INV000176,S002,P011,Packaging Boxes,PACKAGING,2024-10-13,333,units,80,529,6.9,NORMAL,0.8
INV000177,S002,P012,Paper Cups,PACKAGING,2024-10-13,303,units,72,478,7.0,NORMAL,0.15
INV000178,S002,P013,Plastic Cutlery Sets,PACKAGING,2024-10-13,156,units,53,349,4.9,NORMAL,0.1
INV000179,S002,P014,Napkins,PACKAGING,2024-10-13,371,packs,92,610,6.7,NORMAL,2.5
INV000180,S002,P015,Ketchup Sachets,CONDIMENTS,2024-10-13,415,units,102,676,6.7,NORMAL,0.05
INV000181,S003,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-13,184,kg,81,392,3.8,NORMAL,15
INV000182,S003,P002,Chicken Breast,RAW_MATERIAL,2024-10-13,153,kg,63,306,4.0,NORMAL,12
INV000183,S003,P003,Burger Buns,RAW_MATERIAL,2024-10-13,165,units,54,262,5.0,NORMAL,0.5
INV000184,S003,P004,French Fries,RAW_MATERIAL,2024-10-13,170,kg,78,375,3.6,NORMAL,8
INV000185,S003,P005,Lettuce,RAW_MATERIAL,2024-10-13,257,kg,108,522,3.9,NORMAL,5
INV000186,S003,P006,Tomatoes,RAW_MATERIAL,2024-10-13,174,kg,79,379,3.7,NORMAL,4
INV000187,S003,P007,Cheese Slices,RAW_MATERIAL,2024-10-13,181,units,74,357,4.0,NORMAL,0.3
INV000188,S003,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-13,258,liters,85,410,5.0,NORMAL,25
INV000189,S003,P009,Cooking Oil,RAW_MATERIAL,2024-10-13,202,liters,85,410,3.9,NORMAL,18
INV000190,S003,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-13,279,liters,115,552,4.0,NORMAL,20
INV000191,S003,P011,Packaging Boxes,PACKAGING,2024-10-13,277,units,118,568,3.9,NORMAL,0.8
INV000192,S003,P012,Paper Cups,PACKAGING,2024-10-13,110,units,53,256,3.4,NORMAL,0.15
INV000193,S003,P013,Plastic Cutlery Sets,PACKAGING,2024-10-13,178,units,83,399,3.6,NORMAL,0.1
INV000194,S003,P014,Napkins,PACKAGING,2024-10-13,164,packs,83,402,3.3,NORMAL,2.5
INV000195,S003,P015,Ketchup Sachets,CONDIMENTS,2024-10-13,249,units,105,506,3.9,NORMAL,0.05
INV000196,S004,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-13,278,kg,90,540,5.1,NORMAL,15
INV000197,S004,P002,Chicken Breast,RAW_MATERIAL,2024-10-13,297,kg,115,691,4.3,NORMAL,12
INV000198,S004,P003,Burger Buns,RAW_MATERIAL,2024-10-13,334,units,123,742,4.5,NORMAL,0.5
INV000199,S004,P004,French Fries,RAW_MATERIAL,2024-10-13,196,kg,55,333,5.9,NORMAL,8
INV000200,S004,P005,Lettuce,RAW_MATERIAL,2024-10-13,161,kg,50,300,5.4,NORMAL,5
INV000201,S004,P006,Tomatoes,RAW_MATERIAL,2024-10-13,415,kg,118,712,5.8,NORMAL,4
INV000202,S004,P007,Cheese Slices,RAW_MATERIAL,2024-10-13,223,units,75,450,5.0,NORMAL,0.3
INV000203,S004,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-13,230,liters,58,352,6.5,NORMAL,25
INV000204,S004,P009,Cooking Oil,RAW_MATERIAL,2024-10-13,313,liters,92,553,5.7,NORMAL,18
INV000205,S004,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-13,233,liters,65,394,5.9,NORMAL,20
INV000206,S004,P011,Packaging Boxes,PACKAGING,2024-10-13,283,units,88,529,5.3,NORMAL,0.8
INV000207,S004,P012,Paper Cups,PACKAGING,2024-10-13,298,units,102,613,4.9,NORMAL,0.15
INV000208,S004,P013,Plastic Cutlery Sets,PACKAGING,2024-10-13,288,units,87,526,5.5,NORMAL,0.1
INV000209,S004,P014,Napkins,PACKAGING,2024-10-13,228,packs,74,447,5.1,NORMAL,2.5
INV000210,S004,P015,Ketchup Sachets,CONDIMENTS,2024-10-13,343,units,98,591,5.8,NORMAL,0.05
INV000211,S005,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-13,293,kg,72,520,6.8,NORMAL,15
INV000212,S005,P002,Chicken Breast,RAW_MATERIAL,2024-10-13,323,kg,88,637,6.1,NORMAL,12
INV000213,S005,P003,Burger Buns,RAW_MATERIAL,2024-10-13,173,units,50,360,5.8,NORMAL,0.5
INV000214,S005,P004,French Fries,RAW_MATERIAL,2024-10-13,284,kg,76,552,6.2,NORMAL,8
INV000215,S005,P005,Lettuce,RAW_MATERIAL,2024-10-13,501,kg,124,892,6.7,NORMAL,5
INV000216,S005,P006,Tomatoes,RAW_MATERIAL,2024-10-13,343,kg,91,655,6.3,NORMAL,4
INV000217,S005,P007,Cheese Slices,RAW_MATERIAL,2024-10-13,444,units,106,766,6.9,NORMAL,0.3
INV000218,S005,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-13,436,liters,115,829,6.3,NORMAL,25
INV000219,S005,P009,Cooking Oil,RAW_MATERIAL,2024-10-13,296,liters,71,514,6.9,NORMAL,18
INV000220,S005,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-13,333,liters,86,621,6.4,NORMAL,20
INV000221,S005,P011,Packaging Boxes,PACKAGING,2024-10-13,283,units,92,667,5.1,NORMAL,0.8
INV000222,S005,P012,Paper Cups,PACKAGING,2024-10-13,333,units,80,576,6.9,NORMAL,0.15
INV000223,S005,P013,Plastic Cutlery Sets,PACKAGING,2024-10-13,348,units,78,567,7.4,NORMAL,0.1
INV000224,S005,P014,Napkins,PACKAGING,2024-10-13,201,packs,68,495,4.9,NORMAL,2.5
INV000225,S005,P015,Ketchup Sachets,CONDIMENTS,2024-10-13,387,units,81,585,7.9,NORMAL,0.05
INV000226,S001,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-19,166,kg,59,319,4.7,NORMAL,15
INV000227,S001,P002,Chicken Breast,RAW_MATERIAL,2024-10-19,301,kg,123,666,4.1,NORMAL,12
INV000228,S001,P003,Burger Buns,RAW_MATERIAL,2024-10-19,284,units,99,534,4.8,NORMAL,0.5
INV000229,S001,P004,French Fries,RAW_MATERIAL,2024-10-19,192,kg,81,437,4.0,NORMAL,8
INV000230,S001,P005,Lettuce,RAW_MATERIAL,2024-10-19,173,kg,50,272,5.7,NORMAL,5
INV000231,S001,P006,Tomatoes,RAW_MATERIAL,2024-10-19,208,kg,63,342,5.5,NORMAL,4
INV000232,S001,P007,Cheese Slices,RAW_MATERIAL,2024-10-19,188,units,78,421,4.0,NORMAL,0.3
INV000233,S001,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-19,328,liters,116,627,4.7,NORMAL,25
INV000234,S001,P009,Cooking Oil,RAW_MATERIAL,2024-10-19,305,liters,121,654,4.2,NORMAL,18
INV000235,S001,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-19,184,liters,65,353,4.7,NORMAL,20
INV000236,S001,P011,Packaging Boxes,PACKAGING,2024-10-19,341,units,109,589,5.2,NORMAL,0.8
INV000237,S001,P012,Paper Cups,PACKAGING,2024-10-19,366,units,121,656,5.0,NORMAL,0.15
INV000238,S001,P013,Plastic Cutlery Sets,PACKAGING,2024-10-19,323,units,106,575,5.1,NORMAL,0.1
INV000239,S001,P014,Napkins,PACKAGING,2024-10-19,317,packs,114,618,4.6,NORMAL,2.5
INV000240,S001,P015,Ketchup Sachets,CONDIMENTS,2024-10-19,336,units,120,648,4.7,NORMAL,0.05
